case_name,pattern_id,topology,completed,reason,T_final,rms_e,max_ratio,peak_u,max_s,sign_match,accepted,runtime_s
initial_edge,42,chain,1,none,600,0.0329047089199729,0.859847365976978,27.7695549728604,0.951085096258322,1,1,338.2028186
load_1p5,42,chain,1,none,600,0.0344719415350902,0.821400405422176,28.2654939711272,0.949514656190016,1,1,621.1559373
nominal,42,chain,1,none,600,0.0329760685680225,0.820229444480962,28.2654939711272,0.949545001175708,1,1,438.6631884
star,42,star,1,none,600,0.0341132117904633,0.819999714288186,28.0007567061514,0.950862064239432,1,1,639.2528544
worst_ratio,32,chain,1,none,600,0.0329847414361328,0.855467180221646,28.2654939711272,0.949181298456653,1,1,433.1069895
